Program,Round,Project Number,Project Title,Project Description,Field of Research (FOR) - Level 1 Division Code,FOR - Level 1 Division Title,FOR - Level 2 Group Code,FOR - Level 2 Group Title,FOR - Level 3 Class Code,FOR - Level 3 Class Title,FOR - Level 4 Sub-Class Code,FOR - Level 4 Sub-Class Title,Lead Research Institution,Institution Type,City,Approval Date,Fiscal Year,Ontario Commitment,Total Project Costs,Salutation,First Name,Middle Name,Last Name,Expenditure Type,Language,Keywords,population,per_capita_funding
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44963,Advancing Fall Prevention Research,Dr. Tilak Dutta will evaluate footwear to improve winter safety for Ontarians. The requested infrastructure will enable his team to investigate how footwear loses traction as the soles wear with use and develop new materials to improve safety on ice throughout the winter.,RDF30,"Medical, health and life sciences",RDF303,Health Sciences,RDF30303,Rehabilitation medicine,RDF3030399,"Rehabilitation medicine, n.e.c.",University Health Network,Research Hospital,Toronto,2025-01-27 00:00:00 UTC,2024-25,270121,675303,Dr.,Tilak,null,Dutta,Capital,English,"Footwear testing, falls prevention, grip assessment, winter safety.",7109866,0.037992418
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44733,Understanding the interactions between hypertension and Huntington's disease,"In this project Dr. Alpaugh will use animal model, cell culture systems and human tissue samples to understand how hypertension may affect the severity and on-set of Huntington's disease, the mechanisms of this interaction and whether reducing hypertension can delay disease onset/severity.",RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30104,"Neurosciences, medical and physiological and health aspects",RDF3010414,Neurodegeneration,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,79429,212291,Dr.,Melanie,null,Alpaugh,Capital,English,"Cell culture, blood-brain barrier modeling, human induced pluripotent stem cells, Huntington's disease, cardiovascular disease.",182615,0.434953317
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44761,Digital Agriculture: Paving the Way for a Decarbonized and Resource-Optimized Sustainable Agri-Food Production System,"The infrastructure aims to enhance Ontario's agricultural field with state-of-the-art soil sensing technology, enabling precise, high-resolution soil property analysis for improved food security and environmental sustainability. This advancement will position Ontario as a leader in resource-optimized agriculture and improve food security.",RDF40,Agricultural and veterinary sciences,RDF401,"Agriculture, forestry, and fisheries",RDF40101,"Agriculture, land and farm management",RDF4010110,Sustainable agricultural development,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,150000,404723,Dr.,Asim,null,Biswas,Capital,English,"Sustainable soil management, digital agriculture, soil sensing, digital soil mapping, soil properties measurement, laboratory analysis, soil carbon nitrogen and sulphur.",182615,0.821400214
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44844,The effects of temperature on ecological and evolutionary dynamics,"Dr. Grainger and her team will conduct experiments with insects that test the effect of human-induced temperature change on species’ ability to persist in and adapt to, other anthropogenic global changes including new competitors, fragmented habitats and environmental pollutants.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10603,Ecology,RDF1060310,Evolutionary Ecology,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,84000,227199,Dr.,Tess,null,Grainger,Capital,English,"Community ecology, temperature, global change, insects, coexistence, competition, metapopulation, experimental evolution.",182615,0.45998412
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44858,Infrastructure for Building Environmental Monitoring,"Buildings are necessary for housing and industrial activity, but they pose environmental problems given their excessive energy use and pollutant emissions. A building environmental monitoring suite is requested to support research toward reducing building energy consumption/pollutant emissions and improving environmental quality.",RDF20-21,Engineering and technology,RDF204,Mechanical engineering,RDF208,Environmental engineering and related engineering,null,null,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,75058,187645,Dr.,Amir,A.,Aliabadi,Capital,English,"Urban Physics Models, Climate Change Mitigation, Environmental Quality Management, Building System Optimization, Energy Efficiency and Conversion, Meteorological and Air Quality Sensors, Building System Monitors.",182615,0.411017715
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44902,Developing novel immunotherapies for brain cancers,The immune system can be used to treat cancer. The infrastructure will be used to investigate how cancer cell death shapes the immune response against brain tumors. The findings will provide foundational knowledge required to develop new safe and effective treatments for cancer patients.,RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30102,Cancer,RDF3010203,Cancer drug development and therapeutics,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,82000,208482,Dr.,Samuel,null,Workenhe,Capital,English,"Immunotherapy, brain cancer, cancer cell death, immunogenic cell death.",182615,0.449032117
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44988,Infrastructure to establish lab in plant systematics and evolution of wild crop relatives,This proposal will study the evolution and adaptation of crop wild relatives related to tomatoes and eggplants in diverse environments. It focuses on how abiotic stressors have shaped genome size evolution and key traits in eggplants and also proposes to look at how tomato populations have adapted to elevation gradients in the Andes.,RDF10601,Biological Sciences,RDF10605,Biological evolution,RDF1060508,Phylogeny and comparative analysis,null,null,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,84000,244673,Dr.,Edeline,null,Gagnon,Capital,English,"Evolutionary ecology, population genomics, comparative systematics, Solanaceae, wild crop relatives, genomes, tomato, eggplant, thermotolerance, drought.",182615,0.45998412
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,45016,Functional characterization of neural circuits underlying perception of control during stress,"Dr. Daviu's research plan is geared towards identifying crucial behavioral traits that foster stress resilience and creating innovative pre-clinical models to develop new behavioral interventions for trauma-related psychopathologies, such as Post traumatic stress disorder.",RDF30,"Medical, health and life sciences",RDF201,Basic medicine and life sciences,RDF30104,"Neurosciences, medical and physiological and health aspects",null,null,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,80000,201852,Dr.,Nuria,null,Daviu Abant,Capital,English,"Post-traumatic stress disorder, neurobiology of stress, stress coping, in-vivo calcium recording.",182615,0.438080114
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,45023,The role of nitrogen and carbon quality in greenhouse gas production following permafrost thaw in northern peatlands,"This program will characterize changes in carbon and nitrogen cycling in northern permafrost peatland systems following thaw. It will use multiple linked approaches including laboratory incubation studies, in field manipulations that track C and N movement, while bringing together datasets on permafrost C and N from across the globe.",RDF10,Natural Sciences,RDF105,Earth and related environmental sciences,RDF10510,Natural environment sciences,RDF1051005,Natural environment sustainability studies,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,112000,302010,Dr.,Catherine,null,Dieleman,Capital,English,"Climate change, permafrost thaw, biogeochemistry, carbon, nitrogen, soil, porewater, greenhouse gas emissions.",182615,0.613312159
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,45028,Environmental sentinel surveillance and forecasting of climate-sensitive waterborne and vector-borne zoonotic diseases,The risks of vector-borne and waterborne zoonotic diseases are likely to increase under changing climate conditions. The overall aim of this project is to conduct innovative surveillance and forecasting for climate-sensitive vector-borne and waterborne zoonotic pathogens of emerging public and animal health significance in Ontario.,RDF30,"Medical, health and life sciences",RDF303,Health Sciences,RDF30302,Public and population health,RDF3030222,One Health approach,University of Guelph,University,Guelph,2025-01-27 00:00:00 UTC,2024-25,150000,402988,Dr.,Katie,null,Clow,Capital,English,"Zoonotic pathogen, waterborne, vector-borne, sentinel surveillance, climate change, forecasting.",182615,0.821400214
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44737,Quantum Electronic Devices and Circuits,"This program seeks to prepare magnetic, topological and superconducting quantum materials and devices and characterize interface-driven magneto-thermo-electrical transport behavior. It enables energy efficient magnetic memory and logic devices, as well as superconducting diode circuit components for quantum information processing.",RDF10,Natural Sciences,RDF103,Physical Sciences,RDF10305,Condensed matter physics,RDF1030502,Condensed matter experiments,University of Ottawa,University,Ottawa,2025-01-27 00:00:00 UTC,2024-25,571890,1429725,Dr.,Hang,null,Chi,Capital,English,"Condensed Matter Physics, Quantum Materials and Devices, Spintronics, Quantum Transport, Magnetic Interfaces, Nonreciprocal Superconductivity.",1291272,0.442888872
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44857,Ethnic and Racial Quality and Access in Thrombosis Studies (EQUALS):Examining diversity and enhancing equity,This project aims to understand and improve the risk prediction of thrombosis and its treatment complications in ethnic and racially under-represented populations. It will drive efforts to equitably reduce the burden of this prevalent condition in Ontario and globally and to enhance the racial representation of current and future thrombosis studies.,RDF30,"Medical, health and life sciences",RDF302,Clinical medicine,RDF30201,Cardiorespiratory medicine and hematology,RDF3020102,Hematology,University of Ottawa,University,Ottawa,2025-01-27 00:00:00 UTC,2024-25,110000,276228,Dr.,Yan,null,Xu,Capital,English,"Racialized population, anticoagulants, thrombosis, bleeding, linguistic discordance, risk prediction, health equity, diversity in research.",1291272,0.085187319
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44967,"Designing, creating and testing hPSC-based endothelial cell therapeutics for liver disease",This project aims to understand how liver endothelial cells gain and maintain their function and apply these findings to the development of novel stem cell therapies for liver diseases where these functions are lost. This project’s research will support the design and testing of treatments for conditions such as Hemophilia A and NAFLD.,RDF30,"Medical, health and life sciences",RDF304,Medical biotechnology,RDF30401,Medical biotechnology,RDF3040104,Regenerative medicine (including stem cells and tissue engineering),University of Ottawa,University,Ottawa,2025-01-27 00:00:00 UTC,2024-25,338000,878345,Dr.,Blair,null,Gage,Capital,English,"Endothelial Cell, Pluripotent Stem Cell, Genetics, Developmental Modeling, Humanized Animal Models, Cell-based Therapy, Liver Disease, Hemophilia, Lentivirus.",1291272,0.261757399
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44970,Analytical tools for lignin biology and engineering,"This project will support the recruitment of Dr. Yaseen Mottiar to uOttawa. It will provide new analytical instruments needed for the analysis of plant metabolites, including those related to lignin and plant cell walls. This work will contribute new strategies for engineering plants to promote the sustainable industrial utilisation of plant biomass.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10609,Plant biology,RDF1060999,"Plant biology, not elsewhere classified",University of Ottawa,University,Ottawa,2025-01-27 00:00:00 UTC,2024-25,110000,317046,Dr.,Yaseen,null,Mottiar,Capital,English,"Plant cell walls, genetic engineering, lignin, non-model plants.",1291272,0.085187319
Ontario Research Fund - Research Infrastructure,Biosciences Research Infrastructure Fund - Stage 2,500180,The Canadian Biomanufacturing Cooperative – An Ontario-led Initiative,"The Canadian Biomanufacturing Cooperative is a national, Ontario-led initiative that will build harmonized biomanufacturing capacity across Canada. Our approach will ensure that Ontario can protect itself from future pandemics and at the same time, access new lifesaving biotherapeutics for a variety of other diseases.",RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30199,Other basic medicine and life sciences,RDF3019999,Other basic medicine and life sciences,University of Ottawa,University,Ottawa,2025-01-27 00:00:00 UTC,2024-25,44691572,117141136,null,Duncan,J.,Stewart,Capital,English,"Biomanufacturing, GMP Production, Standardization, Pandemic Preparedness Therapeutic Viruses, Vaccines, Cell Therapy, Process Development, Assay Development, CanPRIME, Work-integrated Learning, '100-days mission', Quality Control, Quality Assurance, Adherent Bioreactors, Suspension Bioreactors, Purification Strategies, High-Throughput, Automation, Single-use Bioreactors, Aseptic Fill Finish, Modular GMP cleanrooms, Next generation Biomanufacturing, Facility Design, Construction/Renovation",1291272,34.61050189
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44339,Infrastructure for the study of arbovirus RNA biology in human hosts and mosquito vectors,"Dr. Rozen-Gagnon's research program will use innovative systems biology techniques to uncover how mosquito-borne viruses thrive in diverse cell types and organisms. Her results will uncover cellular processes crucial for infection, a first step to develop prevention strategies and treatments for diseases caused by mosquito-borne viruses.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10607,Microbiology,RDF1060707,Virology,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,140000,350547,Dr.,Kathryn,null,Rozen-Gagnon,Capital,English,"Arbovirus, RNA interference, mosquito, antiviral defense, crosslinking-immunoprecipitation, virus-host interactions, small RNAs, pathogenesis, persistence, transmission",7109866,0.019690948
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44774,Functional and Chemical Genomic Analyses of Essential Genes to Cripple Fungal Pathogens,"Fungal pathogens have a devastating impact on human health. To address the urgent need for new therapeutic strategies, Professor Cowen is requesting infrastructure necessary to discover genes that are required for fungal pathogens to cause disease and to identify molecules that kill these pathogens.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10607,Microbiology,RDF1060706,Mycology,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,250000,935498,Dr.,Leah,null,Cowen,Capital,English,"Microbial Genomics, Infectious Disease, Fungal Pathogen, Antifungal Drug Discovery, Antimicrobial Resistance, Chemical Genomics, Functional Genomics.",7109866,0.035162407
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44802,4D Genomics,"Chromosomal defects are a hallmark of many cancers and congenital anomalies, which have devastating impacts on the health and well-being of Ontarians. This program will marshal advanced research infrastructure to perform spatial biology and provide a critical foundation for the development of improved diagnostics for these diseases in Ontario.",RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30199,Other basic medicine and life sciences,RDF3019999,Other basic medicine and life sciences,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,400000,1000000,Dr.,Ahilya,N.,Sawh,Capital,English,"Genomics, Chromatin, Development, Gene Regulation.",7109866,0.056259851
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44925,Pioneering novel approaches to purify virus particles for new discoveries and innovation in diagnostics and therapeutics.,"Viral infections produce many different types of virus particles, complicating our understanding of virus infection and making it challenging to design effective therapeutics. This research will yield new tools to study single virus particles, generating improved knowledge of viral infections and advanced nanoparticle-based therapeutics.",RDF30,"Medical, health and life sciences",RDF2110113,Molecular and organic electronics,RDF1040503,Characterization of biological macromolecules and biological systems,null,null,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,200000,860986,Dr.,Christina,null,Guzzo,Capital,English,"Virology, immunology, flow cytometry, nanoscale cytometry, HIV.",7109866,0.028129925
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44948,Mechanisms of Beta Cell Dysfunction in Diabetes,"Diabetes is a growing epidemic that reduces life expectancy and imposes substantial economic and healthcare burdens. This proposal will support the establishment of a research lab capable of identifying and characterizing factors that play a causal role in diabetes using state-of-the art technologies, facilitating development of therapeutics.",RDF30,"Medical, health and life sciences",RDF301,Basic medicine and life sciences,RDF30199,Other basic medicine and life sciences,RDF3019999,Other basic medicine and life sciences,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,260000,650002,Dr.,Kacey,null,Prentice,Capital,English,"Diabetes, Metabolism, Beta Cells, Insulin Secretion, Cell Signaling, Real-Time Imaging, Diabetes Biomarkers, Diabetes Therapeutics, Insulin Resistance, Calcium Flux.",7109866,0.036568903
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44956,Interrogating cellular pathways with pathogenic effectors,"Around 1,400 pathogens target humans, needing to evade the immune system for infection. Dr. Taipale of the University of Toronto seeks to understand how proteins encoded by these pathogens disrupt key pathways, potentially uncovering new drug targets for widespread diseases.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10601,Biochemistry,RDF1060103,Proteomics,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,250000,640279,Dr.,Mikko,null,Taipale,Capital,English,"Proteomics, human pathogens, pathogenic effectors, protein homeostasis, cGAS-STING pathway, innate immune response.",7109866,0.035162407
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44975,"Effects of climate change, migratory plasticity and habitat modification on monarch butterfly migration",Monarch butterflies are a conservation priority in Ontario. Dr. Freedman’s research will advance this priority by improving forecasts of climate change impacts and developing tools for tracking changes in the availability of milkweed host plants.,RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10605,Biological evolution,RDF1060503,Biological adaptation,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,200000,500000,Dr.,Micah,null,Freedman,Capital,English,"Ecology, evolutionary biology, climate change, adaptation, habitat modification, chemical ecology, animal migration, monarch butterfly.",7109866,0.028129925
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44982,The Open Virome - Infrastructure for Planetary-Scale Virus Surveillance,"Dr. Babaian will pioneer advanced methods for detecting and prioritizing infectious agents in sequencing data at ultra-high efficiency. Through cutting edge advancements of computational and molecular genetics, his team will lead the way in a new era of big data virology research and industry in Ontario.",RDF10,Natural Sciences,RDF102,Computer and information sciences,RDF10208,Bioinformatics,RDF1020801,Algorithms and computational genomics,University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,80000,214457,Dr.,Artem,null,Babaian,Capital,English,"Computational Virology, Ontario Viromics Core, Molecular Biology/Genetics, Nucleic Acid Extraction.",7109866,0.01125197
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,45085,Large Memory Compute Nodes for Generation of Quantum Machine Learning Data,We use adaptive experimental computing to generate quantum mechanics based training data for improved machine learning models which could accelerate the computational discovery of promising materials.,RDF10,Natural Sciences,RDF104,Chemical sciences,RDF10407,Computational and theoretical chemistry,RDF1040799,"Theoretical chemistry, n.e.c.",University of Toronto,University,Toronto,2025-01-27 00:00:00 UTC,2024-25,500000,1250000,Dr.,Anatole,null,von Lilienfeld,Capital,English,"Computational chemistry, machine learning, quantum mechanics, experimental computing.",7109866,0.070324813
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44927,CPU-GPU Accelerated Optimal Process Design and Control to Rigorously Model Space-Time,"This project will leverage state-of-the-art multi-CPU-GPU computing resources to develop novel methods and tools needed to guide the design, deployment and operation of sustainable technologies in Ontario which will help combat climate change and help drive an environmentally sustainable economy.",RDF20-21,Engineering and technology,RDF205,Chemical engineering,RDF20501,Chemical engineering,RDF2050108,Process control and simulation in chemical engineering,University of Waterloo,University,Waterloo,2025-01-27 00:00:00 UTC,2024-25,80000,200039,Dr.,Joshua,null,Pulsipher,Capital,English,"Infinite-dimensional optimization, machine learning, optimization under uncertainty, process systems engineering, biomanufacturing.",699402,0.11438343
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44944,Integrating behavioural science and digital health approaches to predict and promote physical activity,"Engaging in regular physical activity leads to important health benefits; however, many adults are insufficiently active. The objective of this research is to examine factors affecting physical activity decision-making. Infrastructure is requested to assess the mechanisms underlying choice and evaluate the efficacy of novel digital interventions.",RDF50,Social sciences,RDF501,Psychology and cognitive sciences,RDF50101,"Psychology, social and behavioural aspects",RDF5010119,Sport and exercise psychology,University of Waterloo,University,Waterloo,2025-01-27 00:00:00 UTC,2024-25,100000,263457,Dr.,Sheereen,null,Harris,Capital,English,"Exercise psychology, behavioural science, health, digital health, mental fatigue, physical activity, motivation, ecological momentary assessment, effort.",699402,0.142979288
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44965,Developing a high-throughput genome-wide screening system to study stress defense mechanisms in Clostridioides difficile,This research seeks to identify comprehensive genetic determinants modulating C. difficile defense responses against nitrosative stress and critical antibiotics by developing an anaerobic high-throughput screening system. It will contribute to innovative therapeutic strategies for controlling C. difficile infections and inflammation.,RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10607,Microbiology,RDF1060702,Bacteriology,University of Waterloo,University,Waterloo,2025-01-27 00:00:00 UTC,2024-25,150000,465306,Dr.,Abiola,null,Olaitan,Capital,English,"Stress defense response, nitrosative stress, inflammation, antibiotic resistance, Clostridioides difficile, high throughput screening, transposon mutagenesis.",699402,0.214468932
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44981,Translational approaches to studying chronic pain,"Over 2.6 million Ontarians are affected by chronic pain and more effective treatment strategies are needed. By pairing innovative translational models with cutting edge physiology tools and behavioural techniques, Dr. Dedek’s research will improve our understanding of the changes within the spinal cord that underlie chronic pain.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10611,"Neurosciences, biological and chemical aspects",RDF1061108,Neurophysiology,University of Waterloo,University,Waterloo,2025-01-27 00:00:00 UTC,2024-25,100000,258209,Dr.,Annemarie,null,Dedek,Capital,English,"Pain, chronic pain, spinal cord, electrophysiology, behavioural models, translational models, pharmacology.",699402,0.142979288
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,45010,Creation and Validation of the Waterloo Dress Database to Support Impression Formation Research,Psychologists know little about the role of dress in impression formation. The project will create a standardized Waterloo Dress Database by capturing photographs of diverse individuals in 20 outfits and creating a codebook for researchers. This project will support Ontarian and global research on dress and impression formation.,RDF50,Social Sciences,RDF501,Psychology and cognitive sciences,RDF50101,"Psychology, social and behavioural aspects",RDF5010124,Social cognition,University of Waterloo,University,Waterloo,2025-01-27 00:00:00 UTC,2024-25,22000,56117,Dr.,Neil,null,Hester,Capital,English,Stimulus creation; impression formation; person perception; dress; clothing;stereotyping; prejudice; social categorization.,699402,0.031455443
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44718,Integrative Cerebrovascular Function,Dr. Bain's Integrative Vascular Physiology Lab (IVPL) is dedicated to unraveling the complexities of blood vessel function and its crucial connections to heart and brain health. The research encompasses two primary objectives: 1) understanding the mechanisms of vascular dysfunction and 2) providing novel therapeutic options.,RDF3010601,Systems physiology,RDF3030104,Cerebrovascular sciences (including stroke),RDF3020101,Cardiology and circulatory sciences (including cardiovascular disease),null,null,University of Windsor,University,Windsor,2025-01-27 00:00:00 UTC,2024-25,75159,202792,Dr.,Anthony,null,Bain,Capital,English,Brain blood flow; Blood pressure; Neurodegenerative disease; cardiovascular disease; cerebrovascular disease.,484698,0.155063565
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44964,Understanding Reaction Mechanism and Properties of Low-carbon Cements/Concretes,The proposal aims to develop and understand low-carbon cements and concretes by exploring innovative formulations and studying their reaction mechanisms and properties. It utilizes advanced analytical tools like isothermal calorimetry and particle size analyzers to optimize material properties for sustainable construction.,RDF20-21,Engineering and technology,RDF201,"Civil engineering, maritime engineering, transport engineering, and mining engineering",RDF20101,Civil engineering,RDF2010103,"Concrete, cementitious materials and other architectural and construction",University of Windsor,University,Windsor,2025-01-27 00:00:00 UTC,2024-25,75001,204604,Dr.,Adeyemi,null,Adesina,Capital,English,"Sustainable Construction Materials, Low-Carbon Cement Technology, Cement, Hydration Kinetics, Green Building Materials, Alternative Cementitious Materials.",484698,0.154737589
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44969,Facility for Research in Sustainable and Smart Pavement Materials,This research program is being undertaken to improve the sustainability and resilience of pavements and enable a more efficient pavement management system. Experimental testing is being conducted to develop self-sensing  asphalt mixes with recycled materials and developing an Artificial Intelligence framework for structural monitoring.,RDF20-21,Engineering and technology,RDF201,Transportation Engineering,RDF20103,Land Transportation Systems Engineering,RDF2010306,Pavement Materials and Structure,University of Windsor,University,Windsor,2025-01-27 00:00:00 UTC,2024-25,75001,211215,Dr.,Abimbola,Grace,Oyeyi,Capital,English,"Self-sensing, asphalt mixes, recycled concrete aggregate, reclaimed asphaltpavement, pavement management systems, material characterization, sustainability.",484698,0.154737589
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44999,STRIVE: Sustainable Transportation Research - Integrated Vehicular Electronics,"Modular powertrains technology has shown promise to drastically reduce cost, weight and energy consumption of EVs. However, the solution cannot be commercialized as it is not compatible with current products, e.g., onboard chargers. STRIVE will bridge the compatibility gap and unleash the deployment of this superior EV architecture.",RDF20-21,Engineering and technology,RDF203,"Electrical engineering, computer engineering, and information engineering",RDF20304,Electrical energy systems,RDF2030409,Electric machines and drive systems,University of Windsor,University,Windsor,2025-01-27 00:00:00 UTC,2024-25,75001,190812,Dr.,Caniggia,null,Viana,Capital,English,"Power Electronics, Electric Vehicles, Integrated Charging, Sustainability.",484698,0.154737589
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,45038,Acoustic Monitoring for Long-term Biodiversity and Conservation Research,"The objective of the proposal is to establish a large-scale acoustic monitoring program at the University of Windsor for ecological biodiversity assessment and conservation in Essex County. Infrastructure will include passive acoustic monitors, acoustic cameras and associated equipment required for calibration and maintenance.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10603,Ecology (except applications),RDF1060301,Behavioural ecology,University of Windsor,University,Windsor,2025-01-27 00:00:00 UTC,2024-25,75001,187504,Dr.,Hannah,null,ter Hofstede,Capital,English,"Behavioural ecology, conservation biology, passive acoustic monitoring, automated sound identification, experimental acoustic ecology, habitat restoration.",484698,0.154737589
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,45054,High-precision infrastructure for temperature and dynamic stability testing of micro sensors,The requested industry-standard infrastructure will facilitate cutting-edge research in developing micro inertial sensor based highly-stable and ultra-precise smart navigation system to enable long-term drift free autonomous navigating that works anywhere and anytime without GPS.,RDF20-21,Engineering and technology,RDF204,Mechanical Engineering,RDF20499,Other mechanical engineering,null,null,University of Windsor,University,Windsor,2025-01-27 00:00:00 UTC,2024-25,165045,438739,Dr.,Mohammed,Jalal,Ahamed,Capital,English,"Microelectromechanical Systems (MEMS), Sensors, Fabrication, Semiconductor, Stability.",484698,0.340510999
Ontario Research Fund - Research Infrastructure,Biosciences Research Infrastructure Fund - Stage 2,500008,INSPIRE: Integrated Network for the Surveillance of Pathogens: Increasing REsilience and capacity in Canada’s pandemic response,Infrastructure is requested to establish the Cross-Border Pathogen Facility and increase pathogen surveillance capacity amongst INSPIRE partners to alert Ontario’s biomanufacturing sector of potential biothreats that may compromise supply chains originating in the US.,RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10607,Microbiology,RDF1060709,Environmental microbiology (including air microbiology),University of Windsor,University,Windsor,2025-01-27 00:00:00 UTC,2024-25,1380140,3443649,null,Robert,M,McKay,Capital,English,"Bioinformatics; wastewater surveillance; supply chain management; cross-border policy; pandemic preparedness; ONE Health; health systems; genomic epidemiology; antimicrobial resistance; metagenomics; digital epidemiology; emerging pathogens; artificial intelligence
genomic sequencing; ultralow temperature freezers; liquid handling robotics; biosafety cabinets; biobanking; microfluidics; biosensors; acoustic liquid handler; ddPCR; qPCR",484698,2.847422519
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 061 - 2024 - June,44872,Sahtú Lake Ice Monitoring Science Mobile Lab (Sahtú Lab),"Sahtú Lab platform will closely integrate transformational research on water resources with the development of new water/snow/ice sensing technologies improve the water management plans, winter roads safety and northern communities’ well-being and inform adaptive and sustainable water policy and management in Ontario.",RDF10,Natural Sciences,RDF105,Earth and related environmental sciences,RDF10508,Cryosphere processes,RDF1050801,Physics of snow and ice,Wilfrid Laurier University,University,Waterloo,2025-01-27 00:00:00 UTC,2024-25,76388,190971,Dr.,Homa,null,Kheyrollah Pour,Capital,English,"Mobile lab, cold regions, winter limnology, lake ice, water quality, youth education.",699402,0.109219019
